Player,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
Nick Foles,2013,24,PHI,QB,9,13,10,8-2-0,203,317,64,2891,27,8.5,2,0.6,130,63,9.1,10.5,14.2,222.4,119.2,69.5,28,173,7.88,9.18,8.1,1,1,11
Matthew Stafford,2011,23,DET,QB,9,16,16,10-6-0,421,663,63.5,5038,41,6.2,16,2.4,243,73,7.6,7.7,12,314.9,97.2,60.5,36,257,6.84,6.98,5.2,3,4,16
Aaron Rodgers,2011,28,GNB,QB,12,15,15,14-1-0,343,502,68.3,4643,45,9,6,1.2,209,93,9.2,10.5,13.5,309.5,122.5,83.8,36,219,8.22,9.39,6.7,0,1,23
Aaron Rodgers 2020,2020,37,GNB,QB,12,16,16,13-3-0,372,526,70.7,4299,48,9.1,5,1,216,78,8.2,9.6,11.6,268.7,121.5,84.4,20,182,7.54,8.89,3.7,1,2,18
Dan Marino,1984,23,MIA,QB,13,16,16,14-2-0,362,564,64.2,5084,48,8.5,17,3,,80,9,9.4,14,317.8,108.9,13,13,120,8.6,8.94,2.3,2,3,21
Peyton Manning IND,2004,28,IND,QB,18,16,16,12-4-0,336,497,67.6,4557,49,9.9,10,2,233,80,9.2,10.2,13.6,284.8,121.1,N/A,13,101,8.74,9.78,2.5,2,4,21
Peyton Manning DEN,2013,37,DEN,QB,18,16,16,13-3-0,450,659,68.3,5477,55,8.3,10,1.5,291,78,8.3,9.3,12.2,342.3,115.1,79,18,120,7.91,8.87,2.7,2,2,19
Tom Brady,2007,30,NWE,QB,12,16,16,16-0-0,398,578,68.9,4806,50,8.7,8,1.4,240,69,8.3,9.4,12.1,300.4,117.2,87,21,128,7.81,8.88,3.5,4,4,24
Patrick Mahomes,2018,23,KAN,QB,15,16,16,12-4-0,383,580,66,5097,50,8.6,12,2.1,262,89,8.8,9.6,13.3,318.6,113.8,80.3,26,171,8.13,8.89,4.3,2,2,22
Drew Brees,2011,32,NOR,QB,9,16,16,13-3-0,468,657,71.2,5476,46,7,14,2.1,279,79,8.3,8.8,11.7,342.3,110.6,82.3,24,158,7.81,8.23,3.5,3,4,20
